OrderID,Date,Region,City,Category,Product,Customer,Quantity,UnitPrice,Discount,Sales,Profit
100001,2024-07-12,North,Delhi,Office Supplies,Marker Set,Customer_251,8,18389,2000,145112.0,10973
100002,2025-01-03,North,Jaipur,Electronics,Laptop,Customer_96,7,30595,1000,213165.0,42740
100003,2023-12-15,West,Pune,Furniture,Sofa,Customer_285,26,951,5000,19726.0,4960
100004,2023-09-28,East,Bhubaneswar,Electronics,SSD,Customer_105,3,49897,0,149691.0,20918
100005,2024-09-25,North,Jaipur,Office Supplies,Notebook,Customer_997,30,49715,0,1491450.0,280407
100006,2023-08-27,East,Bhubaneswar,Office Supplies,Notebook,Customer_47,22,29971,5000,654362.0,80059
100007,2023-10-01,North,Jaipur,Furniture,Cabinet,Customer_651,27,47919,100,1293713.0,184412
100008,2024-12-05,North,Chandigarh,Office Supplies,Stapler,Customer_251,6,60689,500,363634.0,42722
100009,2024-08-03,South,Chennai,Electronics,Mouse,Customer_842,2,41447,500,82394.0,9634
100010,2024-07-28,East,Bhubaneswar,Office Supplies,Printer Ink,Customer_406,29,60242,100,1746918.0,203026
100011,2025-05-31,East,Ranchi,Office Supplies,Printer Ink,Customer_371,8,18231,1000,144848.0,25113
100012,2024-04-24,North,Chandigarh,Office Supplies,Printer Paper,Customer_812,22,55433,1000,1218526.0,80278
100013,2023-04-25,East,Kolkata,Office Supplies,Stapler,Customer_118,22,70481,5000,1545582.0,180379
100014,2023-04-19,East,Ranchi,Electronics,Smartphone,Customer_4,24,34622,1000,829928.0,199589
100015,2024-09-05,East,Bhubaneswar,Electronics,SSD,Customer_781,6,70797,5000,419782.0,117794
100016,2023-03-22,East,Ranchi,Electronics,Monitor,Customer_952,12,40406,100,484772.0,31258
100017,2023-09-29,North,Jaipur,Electronics,Printer,Customer_785,5,16928,2000,82640.0,13951
100018,2024-03-24,West,Pune,Office Supplies,Stapler,Customer_707,7,40957,500,286199.0,85512
100019,2023-01-08,West,Mumbai,Electronics,Mouse,Customer_66,11,2857,1000,30427.0,5734
100020,2024-05-12,North,Delhi,Electronics,Monitor,Customer_928,2,43409,0,86818.0,15500
100021,2023-04-07,South,Hyderabad,Office Supplies,Whiteboard,Customer_591,16,31950,5000,506200.0,85164
100022,2023-03-04,North,Jaipur,Furniture,Cabinet,Customer_421,15,7200,2000,106000.0,22616
100023,2024-04-18,West,Ahmedabad,Electronics,Mouse,Customer_197,7,70392,500,492244.0,41863
100024,2025-02-10,South,Bengaluru,Furniture,Sofa,Customer_101,2,70955,5000,136910.0,7350
100025,2023-09-29,South,Hyderabad,Furniture,Cabinet,Customer_493,7,52665,0,368655.0,-6896
100026,2023-10-31,West,Ahmedabad,Furniture,Table,Customer_981,24,72945,2000,1748680.0,401500
100027,2025-05-23,South,Bengaluru,Office Supplies,Stapler,Customer_556,2,41204,0,82408.0,5153
100028,2024-02-18,South,Bengaluru,Office Supplies,Notebook,Customer_872,6,9081,1000,53486.0,3583
100029,2023-11-20,North,Chandigarh,Office Supplies,Whiteboard,Customer_41,20,10845,500,216400.0,46383
100030,2024-04-13,East,Bhubaneswar,Office Supplies,Stapler,Customer_322,8,34914,500,278812.0,23063
100031,2023-05-16,East,Kolkata,Electronics,Smartphone,Customer_637,19,13204,0,250876.0,46263
100032,2025-04-06,East,Kolkata,Electronics,SSD,Customer_292,6,57533,5000,340198.0,63210
100033,2024-07-20,North,Lucknow,Office Supplies,Notebook,Customer_962,29,17701,200,513129.0,40463
100034,2024-06-01,South,Chennai,Furniture,Sofa,Customer_216,23,45042,100,1035866.0,229832
100035,2024-10-14,West,Ahmedabad,Electronics,Monitor,Customer_650,14,36365,0,509110.0,25906
100036,2024-12-08,East,Bhubaneswar,Office Supplies,Printer Ink,Customer_565,23,56157,1000,1290611.0,67650
100037,2025-03-26,South,Bengaluru,Furniture,Sofa,Customer_566,5,56433,100,282065.0,17052
100038,2024-09-27,North,Lucknow,Electronics,Mouse,Customer_683,4,46457,5000,180828.0,34352
100039,2024-02-26,South,Hyderabad,Electronics,Tablet,Customer_903,14,3348,100,46772.0,10951
100040,2024-04-16,South,Chennai,Electronics,Monitor,Customer_392,28,5175,5000,139900.0,23457
100041,2025-03-02,East,Patna,Electronics,Mouse,Customer_25,22,25413,500,558586.0,73769
100042,2023-09-25,East,Patna,Office Supplies,Whiteboard,Customer_410,22,70382,200,1548204.0,440942
100043,2024-06-07,South,Chennai,Electronics,Monitor,Customer_611,14,45409,2000,633726.0,156281
100044,2024-12-04,North,Jaipur,Office Supplies,Printer Paper,Customer_261,2,57254,0,114508.0,20609
100045,2025-01-07,South,Chennai,Furniture,Desk,Customer_972,22,43379,1000,953338.0,122483
100046,2024-01-24,East,Patna,Office Supplies,Printer Ink,Customer_335,13,38852,1000,504076.0,41244
100047,2024-09-13,South,Chennai,Furniture,Sofa,Customer_854,1,39929,200,39729.0,4074
100048,2025-01-23,East,Ranchi,Furniture,Cabinet,Customer_692,7,67100,500,469200.0,116565
100049,2024-11-19,South,Bengaluru,Furniture,Sofa,,21,44033,0,924693.0,235432
100050,2024-04-11,East,Bhubaneswar,Electronics,Tablet,Customer_26,2,32192,500,63884.0,12956
100051,2025-02-07,West,Pune,Office Supplies,Stapler,Customer_394,16,52483,100,839628.0,72957
100052,2025-05-18,North,Jaipur,Electronics,Tablet,Customer_824,23,67989,500,1563247.0,97788
100053,2024-03-29,North,Jaipur,Electronics,Smartphone,Customer_684,17,73359,1000,1246103.0,161151
100054,2024-06-17,West,Surat,Electronics,Smartphone,Customer_461,9,32506,5000,287554.0,60218
100055,2024-07-07,West,Pune,Furniture,Cabinet,Customer_80,23,37550,100,863550.0,101837
100056,2023-12-05,North,Chandigarh,Electronics,Mouse,Customer_393,23,20128,2000,460944.0,47702
100057,2025-05-27,West,Surat,Electronics,Mouse,Customer_853,14,51149,5000,711086.0,139386
100058,2024-07-05,West,Surat,Electronics,SSD,Customer_306,25,51216,5000,1275400.0,348069
100059,2024-02-19,South,Kochi,Electronics,Keyboard,Customer_447,16,3904,500,61964.0,8305
100060,2024-10-20,South,Kochi,Electronics,Projector,Customer_547,1,51745,1000,50745.0,9697
100061,2025-02-18,West,Pune,Furniture,Chair,Customer_52,9,49789,200,447901.0,46095
100062,2023-12-25,West,Ahmedabad,Furniture,Bookshelf,Customer_855,3,61744,0,185232.0,43947
100063,2023-09-02,South,Bengaluru,Office Supplies,Notebook,Customer_773,1,32511,100,32411.0,8420
100064,2024-09-12,South,Kochi,Office Supplies,Notebook,Customer_578,7,61052,2000,425364.0,48517
100065,2024-02-11,North,Chandigarh,Furniture,Desk,Customer_593,1,40988,1000,39988.0,8770
100066,2024-12-01,South,Bengaluru,Office Supplies,Stapler,Customer_851,21,31930,0,670530.0,150398
100067,2025-05-19,North,Delhi,Furniture,Sofa,Customer_439,22,48671,0,1070762.0,188978
100068,2024-06-18,West,Surat,Electronics,Camera,Customer_984,12,60358,2000,722296.0,63741
100069,2023-03-30,East,Ranchi,Furniture,Cabinet,Customer_846,24,77756,200,1865944.0,243647
100070,2023-07-06,East,Ranchi,Electronics,Smartphone,Customer_584,20,49774,200,995280.0,56905
100071,2024-06-13,West,Pune,Furniture,Bookshelf,Customer_349,9,78239,2000,702151.0,189599
100072,2024-04-03,South,Bengaluru,Electronics,Camera,Customer_501,18,31599,2000,566782.0,95799
100073,2024-07-20,North,Delhi,Furniture,Chair,Customer_415,23,31990,200,735570.0,158875
100074,2025-01-08,East,Ranchi,Office Supplies,Whiteboard,Customer_339,12,59573,200,714676.0,90517
100075,2025-01-11,South,Chennai,Electronics,Printer,Customer_974,25,24367,100,609075.0,63402
100076,2023-10-08,East,Kolkata,Electronics,Keyboard,Customer_233,12,23619,200,283228.0,15163
100077,2024-04-25,North,Delhi,Office Supplies,Marker Set,Customer_715,5,64440,0,322200.0,86407
100078,2024-02-15,West,Surat,Furniture,Chair,Customer_989,2,33192,5000,61384.0,10400
100079,2023-03-29,West,Mumbai,Office Supplies,Stapler,Customer_703,2,19987,100,39874.0,10079
100080,2024-03-29,South,Bengaluru,Office Supplies,Printer Ink,Customer_621,20,29681,5000,588620.0,106330
100081,2024-11-07,East,Ranchi,Furniture,Sofa,Customer_636,2,13106,5000,21212.0,2162
100082,2024-04-26,North,Chandigarh,Electronics,Tablet,Customer_566,3,20617,0,61851.0,9409
100083,2025-03-17,East,Kolkata,Electronics,Keyboard,Customer_724,10,59610,0,596100.0,132242
100084,2023-06-19,South,Kochi,Electronics,Printer,Customer_231,21,19628,200,411988.0,105739
100085,2024-07-06,East,Patna,Furniture,Desk,Customer_480,23,39957,2000,917011.0,138126
100086,2023-04-04,West,Surat,Electronics,Projector,Customer_41,29,56726,2000,1643054.0,214550
100087,2023-10-12,South,Bengaluru,Office Supplies,Marker Set,Customer_591,2,23062,500,45624.0,8200
100088,2023-04-18,South,Kochi,Office Supplies,Printer Ink,Customer_993,3,61705,200,184915.0,28123
100089,2023-04-01,South,Chennai,Furniture,Table,Customer_508,10,52588,5000,520880.0,125076
100090,2024-11-04,East,Patna,Furniture,Desk,Customer_994,25,53076,5000,1321900.0,236156
100091,2023-10-01,West,Surat,Electronics,Mouse,Customer_531,12,65438,2000,783256.0,125720
100092,2023-06-12,South,Chennai,Furniture,Table,Customer_497,4,3883,2000,13532.0,2736
100093,2023-06-07,East,Kolkata,Office Supplies,Printer Ink,Customer_96,8,14971,500,119268.0,34201
100094,2024-01-28,West,Ahmedabad,Office Supplies,Stapler,Customer_280,14,63342,500,886288.0,98318
