OrderID,Date,Region,City,Category,Product,Customer,Quantity,UnitPrice,Discount,Sales,Profit
1001,2025-05-20,North,Delhi,Office Supplies,Marker Set,Neha Singh,8,18389,5000,142112.0,13845
1002,2025-06-16,North,Jaipur,Electronics,Laptop,Priya Patel,7,30595,2000,212165.0,38686
1003,2025-02-25,West,Pune,Furniture,Sofa,Rahul Verma,1,21026,5000,16026.0,2433
1004,2025-04-28,East,Kolkata,Electronics,Camera,Priya Patel,12,45182,2000,540184.0,67506
1005,2025-06-19,North,Jaipur,Electronics,Keyboard,Riya Shah,20,47500,2000,948000.0,106829
1006,2025-02-11,South,Chennai,Electronics,Mouse,,4,49923,500,199192.0,31289
1007,2025-04-08,East,Patna,Electronics,Keyboard,Aditya Roy,3,22531,2000,65593.0,13377
1008,2025-01-17,East,Bhubaneswar,Office Supplies,Marker Set,Riya Shah,2,30121,0,60242.0,13063
1009,2025-05-18,South,Chennai,Electronics,Smartphone,Vikram Rao,15,18826,500,281890.0,29242
1010,2025-01-29,East,Ranchi,Office Supplies,Printer Ink,Sneha Joshi,8,18231,2000,143848.0,23576
1011,2025-03-06,South,Hyderabad,Office Supplies,Printer Ink,Karan Mehta,3,50532,1000,150596.0,27303
1012,2025-01-01,North,Delhi,Office Supplies,Whiteboard,Meera Jain,9,44687,0,402183.0,52241
1013,2025-02-11,East,Bhubaneswar,Office Supplies,Notebook,Riya Shah,10,66640,2000,664400.0,75618
1014,2025-01-21,North,Lucknow,Furniture,Desk,Priya Patel,12,40406,200,484672.0,43546
1015,2025-02-24,North,Jaipur,Electronics,Tablet,Rohan Kumar,16,21743,500,347388.0,58953
1016,2025-01-06,South,Chennai,Furniture,Bookshelf,Ananya Das,17,59277,0,1007709.0,123085
1017,2025-01-19,South,Hyderabad,Electronics,Monitor,Aditya Roy,2,30107,0,60214.0,14085
1018,2025-05-02,South,Chennai,Office Supplies,Printer Ink,Neha Singh,18,17442,5000,308956.0,73852
1019,2025-01-14,South,Kochi,Furniture,Chair,Priya Patel,4,56598,500,225892.0,34337
1020,2025-04-19,North,Delhi,Furniture,Bookshelf,Meera Jain,4,32691,200,130564.0,14666
1021,2025-05-19,South,Chennai,Furniture,Chair,Riya Shah,3,58182,2000,,16675
1022,2025-02-12,North,Delhi,Electronics,Tablet,Vikram Rao,16,63192,200,1010872.0,229458
1023,2025-05-23,West,Mumbai,Furniture,Bookshelf,Harish Menon,15,37488,1000,561320.0,111377
1024,2025-05-03,West,Pune,Electronics,Keyboard,Neha Singh,2,8089,5000,11178.0,1490
1025,2025-04-14,South,Bengaluru,Office Supplies,Notebook,Riya Shah,6,9081,2000,52486.0,4805
1026,2025-03-22,North,Chandigarh,Office Supplies,Whiteboard,Aarav Sharma,20,10845,1000,215900.0,41399
1027,2025-03-22,East,Bhubaneswar,Office Supplies,Marker Set,Neha Singh,9,51976,200,467584.0,90798
1028,2025-03-31,North,Delhi,Furniture,Sofa,Karan Mehta,4,9702,2000,36808.0,4278
1029,2025-05-16,North,Chandigarh,Furniture,Bookshelf,Rohan Kumar,15,39751,2000,594265.0,146935
1030,2025-02-09,North,Lucknow,Office Supplies,Notebook,Harish Menon,5,34764,0,173820.0,40196
1031,2025-05-06,East,Patna,Office Supplies,Printer Paper,Aditya Roy,11,26785,5000,289635.0,54399
1032,2025-03-09,East,Kolkata,Electronics,Camera,Riya Shah,9,5878,0,52902.0,7231
1033,2025-02-08,South,Kochi,Office Supplies,Printer Ink,Arjun Gupta,1,14763,0,14763.0,3552
1034,2025-01-11,North,Lucknow,Office Supplies,Whiteboard,Rohan Kumar,14,16804,0,235256.0,31148
1035,2025-06-08,East,Bhubaneswar,Office Supplies,Printer Paper,Isha Nair,4,46457,2000,183828.0,42336
1036,2025-04-16,South,Hyderabad,Electronics,Tablet,Harish Menon,14,3348,200,46672.0,9577
1037,2025-03-31,South,Chennai,Electronics,Monitor,Vikram Rao,2,61794,200,123388.0,14057
1038,2025-03-13,East,Bhubaneswar,Electronics,Laptop,Isha Nair,7,52327,500,365789.0,46587
1039,2025-03-09,East,Ranchi,Office Supplies,Whiteboard,Sneha Joshi,1,15218,500,14718.0,1624
1040,2025-05-28,North,Delhi,Office Supplies,Printer Ink,Sneha Joshi,11,57299,2000,628289.0,155388
1041,2025-03-26,South,Chennai,Electronics,Camera,Aarav Sharma,17,25925,500,440225.0,67495
1042,2025-02-02,East,Kolkata,Office Supplies,Marker Set,Arjun Gupta,10,53628,500,535780.0,79514
1043,2025-02-23,South,Kochi,Office Supplies,Printer Ink,Isha Nair,6,39546,1000,236276.0,-2850
1044,2025-02-13,West,Ahmedabad,Furniture,Cabinet,Ananya Das,7,67100,1000,468700.0,100740
1045,2025-02-07,North,Lucknow,Office Supplies,Whiteboard,Sneha Joshi,3,30884,5000,87652.0,11637
1046,2025-06-28,North,Delhi,Electronics,Smartphone,Karan Mehta,3,59792,1000,178376.0,41141
1047,2025-06-28,West,Surat,Furniture,Chair,Rohan Kumar,1,14070,1000,13070.0,1531
1048,2025-05-24,West,Mumbai,Office Supplies,Printer Paper,Harish Menon,4,59929,200,239516.0,51793
1049,2025-03-08,East,Ranchi,Office Supplies,Whiteboard,Vikram Rao,18,58546,200,1053628.0,217491
1050,2025-03-11,South,Chennai,Office Supplies,Printer Ink,Isha Nair,8,36092,1000,287736.0,26808
1051,2025-01-17,East,Patna,Office Supplies,Notebook,Rohan Kumar,5,30411,1000,151055.0,29904
1052,2025-05-30,West,Surat,Furniture,Sofa,Ananya Das,14,8261,200,115454.0,25583
1053,2025-06-04,North,Jaipur,Furniture,Desk,Sneha Joshi,10,51216,1000,511160.0,87662
1054,2025-04-14,South,Kochi,Electronics,Keyboard,Vikram Rao,16,3904,1000,61464.0,8429
1055,2025-04-29,South,Kochi,Electronics,Laptop,Harish Menon,13,3652,0,47476.0,8985
1056,2025-03-13,South,Bengaluru,Furniture,Cabinet,Sneha Joshi,7,59698,500,417386.0,57338
1057,2025-06-16,West,Ahmedabad,Electronics,Smartphone,Aarav Sharma,18,6926,500,124168.0,14666
1058,2025-05-25,North,Delhi,Electronics,Mouse,Riya Shah,1,20073,200,19873.0,2016
1059,2025-01-30,South,Kochi,Office Supplies,Marker Set,Meera Jain,12,22092,2000,263104.0,48209
1060,2025-06-01,South,Chennai,Electronics,Laptop,Harish Menon,10,49292,1000,491920.0,118085
1061,2025-04-20,South,Bengaluru,Office Supplies,Marker Set,Riya Shah,20,15966,2000,317320.0,67604
1062,2025-04-28,East,Kolkata,Office Supplies,Marker Set,Aarav Sharma,14,64351,0,900914.0,138469
1063,2025-03-10,South,Kochi,Electronics,Keyboard,Karan Mehta,18,63472,1000,1141496.0,175844
